name,yahoo_symbol,exchange
Crude Oil WTI,CL=F,COMMODITY
Brent Crude,BZ=F,COMMODITY
Natural Gas,NG=F,COMMODITY
Heating Oil,HO=F,COMMODITY
Gasoline,RB=F,COMMODITY
Gold,GC=F,COMMODITY
Silver,SI=F,COMMODITY
Copper,HG=F,COMMODITY
Platinum,PL=F,COMMODITY
Palladium,PA=F,COMMODITY
Corn,ZC=F,COMMODITY
Wheat,ZW=F,COMMODITY
Soybeans,ZS=F,COMMODITY
Soybean Oil,ZL=F,COMMODITY
Soybean Meal,ZM=F,COMMODITY
Rice,ZR=F,COMMODITY
Coffee,KC=F,COMMODITY
Sugar,SB=F,COMMODITY
Cotton,CT=F,COMMODITY
Cocoa,CC=F,COMMODITY
Orange Juice,OJ=F,COMMODITY
Live Cattle,LE=F,COMMODITY
Feeder Cattle,GF=F,COMMODITY
Lean Hogs,HE=F,COMMODITY
