name,yahoo_symbol,exchange
EUR/USD,EURUSD=X,FOREX
GBP/USD,GBPUSD=X,FOREX
USD/JPY,USDJPY=X,FOREX
USD/CHF,USDCHF=X,FOREX
AUD/USD,AUDUSD=X,FOREX
NZD/USD,NZDUSD=X,FOREX
USD/CAD,USDCAD=X,FOREX
EUR/GBP,EURGBP=X,FOREX
EUR/JPY,EURJPY=X,FOREX
GBP/JPY,GBPJPY=X,FOREX
AUD/JPY,AUDJPY=X,FOREX
CHF/JPY,CHFJPY=X,FOREX
USD/INR,USDINR=X,FOREX
EUR/INR,EURINR=X,FOREX
USD/BRL,USDBRL=X,FOREX
USD/MXN,USDMXN=X,FOREX
USD/ZAR,USDZAR=X,FOREX
USD/TRY,USDTRY=X,FOREX
USD/SGD,USDSGD=X,FOREX
USD/HKD,USDHKD=X,FOREX
EUR/CHF,EURCHF=X,FOREX
GBP/CHF,GBPCHF=X,FOREX
AUD/CAD,AUDCAD=X,FOREX
NZD/JPY,NZDJPY=X,FOREX
