name,yahoo_symbol,exchange
20 Microns Limited,20MICRONS.NS,NSE
21st Century Management Services Limited,21STCENMGM.NS,NSE
360 ONE WAM LIMITED,360ONE.NS,NSE
3i Infotech Limited,3IINFOLTD.NS,NSE
3M India Limited,3MINDIA.NS,NSE
3P Land Holdings Limited,3PLAND.NS,NSE
5Paisa Capital Limited,5PAISA.NS,NSE
63 moons technologies limited,63MOONS.NS,NSE
A2Z Infra Engineering Limited,A2ZINFRA.NS,NSE
AAA Technologies Limited,AAATECH.NS,NSE
Aadhar Housing Finance Limited,AADHARHFC.NS,NSE
Aakash Exploration Services Limited,AAKASH.NS,NSE
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS.NS,NSE
Aaron Industries Limited,AARON.NS,NSE
Aartech Solonics Limited,AARTECH.NS,NSE
Aarti Drugs Limited,AARTIDRUGS.NS,NSE
Aarti Industries Limited,AARTIIND.NS,NSE
Aarti Pharmalabs Limited,AARTIPHARM.NS,NSE
Aarti Surfactants Limited,AARTISURF.NS,NSE
Aarvi Encon Limited,AARVI.NS,NSE
Aavas Financiers Limited,AAVAS.NS,NSE
Aban Offshore Limited,ABAN.NS,NSE
ABB India Limited,ABB.NS,NSE
Abbott India Limited,ABBOTINDIA.NS,NSE
Aditya Birla Capital Limited,ABCAPITAL.NS,NSE
A B Cotspin India Limited,ABCOTS.NS,NSE
Allied Blenders and Distillers Limited,ABDL.NS,NSE
Aditya Birla Fashion and Retail Limited,ABFRL.NS,NSE
A B Infrabuild Limited,ABINFRA.NS,NSE
Aditya Birla Lifestyle Brands Limited,ABLBL.NS,NSE
ABM International Limited,ABMINTLLTD.NS,NSE
Aditya Birla Real Estate Limited,ABREL.NS,NSE
Aditya Birla Sun Life AMC Limited,ABSLAMC.NS,NSE
ACC Limited,ACC.NS,NSE
Accelya Solutions India Limited,ACCELYA.NS,NSE
Accuracy Shipping Limited,ACCURACY.NS,NSE
Action Construction Equipment Limited,ACE.NS,NSE
Ace Integrated Solutions Limited,ACEINTEG.NS,NSE
Archean Chemical Industries Limited,ACI.NS,NSE
Andhra Cements Limited,ACL.NS,NSE
Acme Solar Holdings Limited,ACMESOLAR.NS,NSE
Acutaas Chemicals Limited,ACUTAAS.NS,NSE
Adani Energy Solutions Limited,ADANIENSOL.NS,NSE
Adani Enterprises Limited,ADANIENT.NS,NSE
Adani Green Energy Limited,ADANIGREEN.NS,NSE
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,NSE
Adani Power Limited,ADANIPOWER.NS,NSE
ADF Foods Limited,ADFFOODS.NS,NSE
Archidply Decor Limited,ADL.NS,NSE
Ador Welding Limited,ADOR.NS,NSE
Adroit Infotech Limited,ADROITINFO.NS,NSE
Allied Digital Services Limited,ADSL.NS,NSE
Advance Agrolife Limited,ADVANCE.NS,NSE
Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS,NSE
Advent Hotels International Limited,ADVENTHTL.NS,NSE
Advanced Enzyme Technologies Limited,ADVENZYMES.NS,NSE
Aegis Logistics Limited,AEGISLOG.NS,NSE
Aegis Vopak Terminals Limited,AEGISVOPAK.NS,NSE
Aequs Limited,AEQUS.NS,NSE
Aeroflex Enterprises Limited,AEROENTER.NS,NSE
Aeroflex Industries Limited,AEROFLEX.NS,NSE
Aeroflex Neu Limited,AERONEU.NS,NSE
Aether Industries Limited,AETHER.NS,NSE
Afcons Infrastructure Limited,AFCONS.NS,NSE
Affle 3i Limited,AFFLE.NS,NSE
Affordable Robotic & Automation Limited,AFFORDABLE.NS,NSE
Akme Fintrade (India) Limited,AFIL.NS,NSE
Abans Financial Services Limited,AFSL.NS,NSE
Agarwal Industrial Corporation Limited,AGARIND.NS,NSE
Dr. Agarwal's Health Care Limited,AGARWALEYE.NS,NSE
AGI Greenpac Limited,AGI.NS,NSE
Agi Infra Limited,AGIIL.NS,NSE
Agri-Tech (India) Limited,AGRITECH.NS,NSE
Agro Phos India Limited,AGROPHOS.NS,NSE
AGS Transact Technologies Limited,AGSTRA.NS,NSE
Anlon Healthcare Limited,AHCL.NS,NSE
Ahlada Engineers Limited,AHLADA.NS,NSE
Asian Hotels (East) Limited,AHLEAST.NS,NSE
Ahluwalia Contracts (India) Limited,AHLUCONT.NS,NSE
AIA Engineering Limited,AIAENG.NS,NSE
Authum Investment & Infrastructure Limited,AIIL.NS,NSE
Airan Limited,AIRAN.NS,NSE
Airo Lam limited,AIROLAM.NS,NSE
Ajanta Pharma Limited,AJANTPHARM.NS,NSE
Ajax Engineering Limited,AJAXENGG.NS,NSE
Ajmera Realty & Infra India Limited,AJMERA.NS,NSE
Ajooni Biotech Limited,AJOONI.NS,NSE
Akash Infra-Projects Limited,AKASH.NS,NSE
Akg Exim Limited,AKG.NS,NSE
AKI India Limited,AKI.NS,NSE
Akshar Spintex Limited,AKSHAR.NS,NSE
AksharChem India Limited,AKSHARCHEM.NS,NSE
Aksh Optifibre Limited,AKSHOPTFBR.NS,NSE
Akums Drugs and Pharmaceuticals Limited,AKUMS.NS,NSE
Akzo Nobel India Limited,AKZOINDIA.NS,NSE
Alankit Limited,ALANKIT.NS,NSE
Albert David Limited,ALBERTDAVD.NS,NSE
Alembic Limited,ALEMBICLTD.NS,NSE
Alicon Castalloy Limited,ALICON.NS,NSE
Alivus Life Sciences Limited,ALIVUS.NS,NSE
Alkali Metals Limited,ALKALI.NS,NSE
Alkem Laboratories Limited,ALKEM.NS,NSE
Alkyl Amines Chemicals Limited,ALKYLAMINE.NS,NSE
Allcargo Logistics Limited,ALLCARGO.NS,NSE
Alldigi Tech Limited,ALLDIGI.NS,NSE
All Time Plastics Limited,ALLTIME.NS,NSE
Almondz Global Securities Limited,ALMONDZ.NS,NSE
Alok Industries Limited,ALOKINDS.NS,NSE
Alpa Laboratories Limited,ALPA.NS,NSE
Alphageo (India) Limited,ALPHAGEO.NS,NSE
Alps Industries Limited,ALPSINDUS.NS,NSE
Amanta Healthcare Limited,AMANTA.NS,NSE
Amber Enterprises India Limited,AMBER.NS,NSE
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS,NSE
Ambika Cotton Mills Limited,AMBIKCO.NS,NSE
Ambuja Cements Limited,AMBUJACEM.NS,NSE
AMD Industries Limited,AMDIND.NS,NSE
Amj Land Holdings Limited,AMJLAND.NS,NSE
Amines & Plasticizers Limited,AMNPLST.NS,NSE
Amrutanjan Health Care Limited,AMRUTANJAN.NS,NSE
Anand Rathi Wealth Limited,ANANDRATHI.NS,NSE
Anant Raj Limited,ANANTRAJ.NS,NSE
ANDHRA PAPER LIMITED,ANDHRAPAP.NS,NSE
The Andhra Sugars Limited,ANDHRSUGAR.NS,NSE
Angel One Limited,ANGELONE.NS,NSE
Anik Industries Limited,ANIKINDS.NS,NSE
Ankit Metal & Power Limited,ANKITMETAL.NS,NSE
Anmol India Limited,ANMOL.NS,NSE
Ansal Properties & Infrastructure Limited,ANSALAPI.NS,NSE
Antelopus Selan Energy Limited,ANTELOPUS.NS,NSE
Antarctica Limited,ANTGRAPHIC.NS,NSE
Anthem Biosciences Limited,ANTHEM.NS,NSE
Anuh Pharma Limited,ANUHPHR.NS,NSE
The Anup Engineering Limited,ANUP.NS,NSE
Anupam Rasayan India Limited,ANURAS.NS,NSE
Apar Industries Limited,APARINDS.NS,NSE
Anjani Portland Cement Limited,APCL.NS,NSE
Apcotex Industries Limited,APCOTEXIND.NS,NSE
Apex Frozen Foods Limited,APEX.NS,NSE
APL Apollo Tubes Limited,APLAPOLLO.NS,NSE
Alembic Pharmaceuticals Limited,APLLTD.NS,NSE
Apollo Micro Systems Limited,APOLLO.NS,NSE
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,NSE
Apollo Pipes Limited,APOLLOPIPE.NS,NSE
Apollo Tyres Limited,APOLLOTYRE.NS,NSE
Apollo Sindoori Hotels Limited,APOLSINHOT.NS,NSE
Aptech Limited,APTECHT.NS,NSE
Aptus Value Housing Finance India Limited,APTUS.NS,NSE
Archidply Industries Limited,ARCHIDPLY.NS,NSE
Archies Limited,ARCHIES.NS,NSE
Amara Raja Energy & Mobility Limited,ARE&M.NS,NSE
Rajdarshan Industries Limited,ARENTERP.NS,NSE
Arfin India Limited,ARFIN.NS,NSE
Aries Agro Limited,ARIES.NS,NSE
Arihant Capital Markets Limited,ARIHANTCAP.NS,NSE
Arihant Superstructures Limited,ARIHANTSUP.NS,NSE
Arisinfra Solutions Limited,ARISINFRA.NS,NSE
Arkade Developers Limited,ARKADE.NS,NSE
Arman Financial Services Limited,ARMANFIN.NS,NSE
Aro Granite Industries Limited,AROGRANITE.NS,NSE
Arrow Greentech Limited,ARROWGREEN.NS,NSE
Arshiya Limited,ARSHIYA.NS,NSE
Anand Rathi Share and Stock Brokers Limited,ARSSBL.NS,NSE
Artemis Medicare Services Limited,ARTEMISMED.NS,NSE
Art Nirman Limited,ARTNIRMAN.NS,NSE
Arvee Laboratories (India) Limited,ARVEE.NS,NSE
Arvind Limited,ARVIND.NS,NSE
Arvind Fashions Limited,ARVINDFASN.NS,NSE
Arvind SmartSpaces Limited,ARVSMART.NS,NSE
Asahi India Glass Limited,ASAHIINDIA.NS,NSE
Asahi Songwon Colors Limited,ASAHISONG.NS,NSE
Automotive Stampings and Assemblies Limited,ASAL.NS,NSE
Associated Alcohols & Breweries Ltd.,ASALCBR.NS,NSE
Ashapura Minechem Limited,ASHAPURMIN.NS,NSE
Ashiana Housing Limited,ASHIANA.NS,NSE
Ashima Limited,ASHIMASYN.NS,NSE
Ashoka Buildcon Limited,ASHOKA.NS,NSE
