name,yahoo_symbol,exchange
Adobe Inc.,ADBE,NASDAQ 100
Advanced Micro Devices,AMD,NASDAQ 100
Airbnb,ABNB,NASDAQ 100
Alnylam Pharmaceuticals,ALNY,NASDAQ 100
Alphabet Inc. (Class A),GOOGL,NASDAQ 100
Alphabet Inc. (Class C),GOOG,NASDAQ 100
Amazon,AMZN,NASDAQ 100
American Electric Power,AEP,NASDAQ 100
Amgen,AMGN,NASDAQ 100
Analog Devices,ADI,NASDAQ 100
Apple Inc.,AAPL,NASDAQ 100
Applied Materials,AMAT,NASDAQ 100
AppLovin,APP,NASDAQ 100
Arm Holdings,ARM,NASDAQ 100
ASML Holding,ASML,NASDAQ 100
AstraZeneca,AZN,NASDAQ 100
Atlassian,TEAM,NASDAQ 100
Autodesk,ADSK,NASDAQ 100
Automatic Data Processing,ADP,NASDAQ 100
Axon Enterprise,AXON,NASDAQ 100
Baker Hughes,BKR,NASDAQ 100
Booking Holdings,BKNG,NASDAQ 100
Broadcom,AVGO,NASDAQ 100
Cadence Design Systems,CDNS,NASDAQ 100
Charter Communications,CHTR,NASDAQ 100
Cintas,CTAS,NASDAQ 100
Cisco,CSCO,NASDAQ 100
Coca-Cola Europacific Partners,CCEP,NASDAQ 100
Cognizant,CTSH,NASDAQ 100
Comcast,CMCSA,NASDAQ 100
Constellation Energy,CEG,NASDAQ 100
Copart,CPRT,NASDAQ 100
CoStar Group,CSGP,NASDAQ 100
Costco,COST,NASDAQ 100
CrowdStrike,CRWD,NASDAQ 100
CSX Corporation,CSX,NASDAQ 100
Datadog,DDOG,NASDAQ 100
DexCom,DXCM,NASDAQ 100
Diamondback Energy,FANG,NASDAQ 100
DoorDash,DASH,NASDAQ 100
Electronic Arts,EA,NASDAQ 100
Exelon,EXC,NASDAQ 100
Fastenal,FAST,NASDAQ 100
Ferrovial,FER,NASDAQ 100
Fortinet,FTNT,NASDAQ 100
GE HealthCare,GEHC,NASDAQ 100
Gilead Sciences,GILD,NASDAQ 100
Honeywell,HON,NASDAQ 100
Idexx Laboratories,IDXX,NASDAQ 100
Insmed Incorporated,INSM,NASDAQ 100
Intel,INTC,NASDAQ 100
Intuit,INTU,NASDAQ 100
Intuitive Surgical,ISRG,NASDAQ 100
Keurig Dr Pepper,KDP,NASDAQ 100
KLA Corporation,KLAC,NASDAQ 100
Kraft Heinz,KHC,NASDAQ 100
Lam Research,LRCX,NASDAQ 100
Linde plc,LIN,NASDAQ 100
Marriott International,MAR,NASDAQ 100
Marvell Technology,MRVL,NASDAQ 100
Mercado Libre,MELI,NASDAQ 100
Meta Platforms,META,NASDAQ 100
Microchip Technology,MCHP,NASDAQ 100
Micron Technology,MU,NASDAQ 100
Microsoft,MSFT,NASDAQ 100
MicroStrategy,MSTR,NASDAQ 100
Mondelez International,MDLZ,NASDAQ 100
Monolithic Power Systems,MPWR,NASDAQ 100
Monster Beverage,MNST,NASDAQ 100
"Netflix, Inc.",NFLX,NASDAQ 100
Nvidia,NVDA,NASDAQ 100
NXP Semiconductors,NXPI,NASDAQ 100
O'Reilly Automotive,ORLY,NASDAQ 100
Old Dominion Freight Line,ODFL,NASDAQ 100
Paccar,PCAR,NASDAQ 100
Palantir Technologies,PLTR,NASDAQ 100
Palo Alto Networks,PANW,NASDAQ 100
Paychex,PAYX,NASDAQ 100
PayPal,PYPL,NASDAQ 100
PDD Holdings,PDD,NASDAQ 100
PepsiCo,PEP,NASDAQ 100
Qualcomm,QCOM,NASDAQ 100
Regeneron Pharmaceuticals,REGN,NASDAQ 100
Roper Technologies,ROP,NASDAQ 100
Ross Stores,ROST,NASDAQ 100
Seagate Technology,STX,NASDAQ 100
Shopify,SHOP,NASDAQ 100
Starbucks,SBUX,NASDAQ 100
Synopsys,SNPS,NASDAQ 100
T-Mobile US,TMUS,NASDAQ 100
Take-Two Interactive,TTWO,NASDAQ 100
"Tesla, Inc.",TSLA,NASDAQ 100
Texas Instruments,TXN,NASDAQ 100
Thomson Reuters,TRI,NASDAQ 100
Verisk Analytics,VRSK,NASDAQ 100
Vertex Pharmaceuticals,VRTX,NASDAQ 100
Warner Bros. Discovery,WBD,NASDAQ 100
Western Digital,WDC,NASDAQ 100
"Workday, Inc.",WDAY,NASDAQ 100
Xcel Energy,XEL,NASDAQ 100
Zscaler,ZS,NASDAQ 100
3M,MMM,S&P 500
A. O. Smith,AOS,S&P 500
Abbott Laboratories,ABT,S&P 500
AbbVie,ABBV,S&P 500
Accenture,ACN,S&P 500
AES Corporation,AES,S&P 500
Aflac,AFL,S&P 500
Agilent Technologies,A,S&P 500
Air Products,APD,S&P 500
Akamai Technologies,AKAM,S&P 500
Albemarle Corporation,ALB,S&P 500
Alexandria Real Estate Equities,ARE,S&P 500
Align Technology,ALGN,S&P 500
Allegion,ALLE,S&P 500
Alliant Energy,LNT,S&P 500
Allstate,ALL,S&P 500
Altria,MO,S&P 500
Amcor,AMCR,S&P 500
Ameren,AEE,S&P 500
American Express,AXP,S&P 500
American International Group,AIG,S&P 500
American Tower,AMT,S&P 500
American Water Works,AWK,S&P 500
Ameriprise Financial,AMP,S&P 500
Ametek,AME,S&P 500
Amphenol,APH,S&P 500
Aon plc,AON,S&P 500
APA Corporation,APA,S&P 500
Apollo Global Management,APO,S&P 500
Aptiv,APTV,S&P 500
Arch Capital Group,ACGL,S&P 500
Archer Daniels Midland,ADM,S&P 500
Arista Networks,ANET,S&P 500
Arthur J. Gallagher & Co.,AJG,S&P 500
Assurant,AIZ,S&P 500
AT&T,T,S&P 500
Atmos Energy,ATO,S&P 500
AutoZone,AZO,S&P 500
AvalonBay Communities,AVB,S&P 500
Avery Dennison,AVY,S&P 500
Ball Corporation,BALL,S&P 500
Bank of America,BAC,S&P 500
Baxter International,BAX,S&P 500
Becton Dickinson,BDX,S&P 500
Berkshire Hathaway,BRK-B,S&P 500
Best Buy,BBY,S&P 500
Bio-Techne,TECH,S&P 500
Biogen,BIIB,S&P 500
BlackRock,BLK,S&P 500
Blackstone Inc.,BX,S&P 500
"Block, Inc.",XYZ,S&P 500
BNY Mellon,BK,S&P 500
Boeing,BA,S&P 500
Boston Scientific,BSX,S&P 500
Bristol Myers Squibb,BMY,S&P 500
Broadridge Financial Solutions,BR,S&P 500
Brown & Brown,BRO,S&P 500
Brown–Forman,BF-B,S&P 500
Builders FirstSource,BLDR,S&P 500
Bunge Global,BG,S&P 500
"BXP, Inc.",BXP,S&P 500
C.H. Robinson,CHRW,S&P 500
Caesars Entertainment,CZR,S&P 500
Camden Property Trust,CPT,S&P 500
Campbell's Company (The),CPB,S&P 500
Capital One,COF,S&P 500
Cardinal Health,CAH,S&P 500
CarMax,KMX,S&P 500
Carnival,CCL,S&P 500
Carrier Global,CARR,S&P 500
Caterpillar Inc.,CAT,S&P 500
Cboe Global Markets,CBOE,S&P 500
CBRE Group,CBRE,S&P 500
CDW Corporation,CDW,S&P 500
Cencora,COR,S&P 500
Centene Corporation,CNC,S&P 500
CenterPoint Energy,CNP,S&P 500
CF Industries,CF,S&P 500
Charles River Laboratories,CRL,S&P 500
Charles Schwab Corporation,SCHW,S&P 500
Chevron Corporation,CVX,S&P 500
Chipotle Mexican Grill,CMG,S&P 500
Chubb Limited,CB,S&P 500
Church & Dwight,CHD,S&P 500
Cigna,CI,S&P 500
Cincinnati Financial,CINF,S&P 500
Citigroup,C,S&P 500
Citizens Financial Group,CFG,S&P 500
Clorox,CLX,S&P 500
CME Group,CME,S&P 500
